soc_kwh,step0_h,step0_min,step0_action_w,step0_action_kw,step0_mode,step1_action_kw,step2_action_kw,soc_above_min_wh,max_energy_step0_wh,power_step_w,terminal_price
1.0,0.0167,1.0,0.0,0.0,idle,-0.7,0.0,745.6,20.0,100.0,0.221
1.0,0.05,3.0,-700.0,-0.7,discharging,-0.7,0.0,745.6,60.0,100.0,0.221
1.0,0.0833,5.0,-400.0,-0.4,discharging,-0.7,0.0,745.6,100.0,100.0,0.221
1.0,0.1333,8.0,-400.0,-0.4,discharging,-0.7,0.0,745.6,160.0,100.0,0.221
1.0,0.1667,10.0,-200.0,-0.2,discharging,-0.7,0.0,745.6,200.0,100.0,0.221
1.0,0.2,12.0,-300.0,-0.3,discharging,-0.7,0.0,745.6,240.0,100.0,0.221
1.0,0.2333,14.0,0.0,0.0,idle,-0.7,0.0,745.6,280.0,100.0,0.221
1.0,0.25,15.0,0.0,0.0,idle,-0.7,0.0,745.6,300.0,100.0,0.221
1.5,0.0167,1.0,0.0,0.0,idle,-1.2,0.0,1245.6,20.0,100.0,0.221
1.5,0.05,3.0,-700.0,-0.7,discharging,-1.2,0.0,1245.6,60.0,100.0,0.221
1.5,0.0833,5.0,-400.0,-0.4,discharging,-1.2,0.0,1245.6,100.0,100.0,0.221
1.5,0.1333,8.0,-400.0,-0.4,discharging,-1.2,0.0,1245.6,160.0,100.0,0.221
1.5,0.1667,10.0,-200.0,-0.2,discharging,-1.2,0.0,1245.6,200.0,100.0,0.221
1.5,0.2,12.0,-300.0,-0.3,discharging,-1.2,0.0,1245.6,240.0,100.0,0.221
1.5,0.2333,14.0,0.0,0.0,idle,-1.2,0.0,1245.6,280.0,100.0,0.221
1.5,0.25,15.0,0.0,0.0,idle,-1.2,0.0,1245.6,300.0,100.0,0.221
1.972,0.0167,1.0,800.0,0.8,charging,-1.2,-0.5,1717.2,20.0,100.0,0.221
1.972,0.05,3.0,-700.0,-0.7,discharging,-1.2,-0.5,1717.2,60.0,100.0,0.221
1.972,0.0833,5.0,-400.0,-0.4,discharging,-1.2,-0.5,1717.2,100.0,100.0,0.221
1.972,0.1333,8.0,100.0,0.1,charging,-1.2,-0.5,1717.2,160.0,100.0,0.221
1.972,0.1667,10.0,-200.0,-0.2,discharging,-1.2,-0.5,1717.2,200.0,100.0,0.221
1.972,0.2,12.0,0.0,0.0,idle,-1.2,-0.5,1717.2,240.0,100.0,0.221
1.972,0.2333,14.0,0.0,0.0,idle,-1.2,-0.5,1717.2,280.0,100.0,0.221
1.972,0.25,15.0,0.0,0.0,idle,-1.2,-0.5,1717.2,300.0,100.0,0.221
2.0,0.0167,1.0,0.0,0.0,idle,-1.2,-0.5,1745.6,20.0,100.0,0.221
2.0,0.05,3.0,-700.0,-0.7,discharging,-1.2,-0.5,1745.6,60.0,100.0,0.221
2.0,0.0833,5.0,-400.0,-0.4,discharging,-1.2,-0.5,1745.6,100.0,100.0,0.221
2.0,0.1333,8.0,-400.0,-0.4,discharging,-1.2,-0.5,1745.6,160.0,100.0,0.221
2.0,0.1667,10.0,-200.0,-0.2,discharging,-1.2,-0.5,1745.6,200.0,100.0,0.221
2.0,0.2,12.0,-300.0,-0.3,discharging,-1.2,-0.5,1745.6,240.0,100.0,0.221
2.0,0.2333,14.0,0.0,0.0,idle,-1.2,-0.5,1745.6,280.0,100.0,0.221
2.0,0.25,15.0,0.0,0.0,idle,-1.2,-0.5,1745.6,300.0,100.0,0.221
