start_idx,offset_min,current_soc_kwh,first_step_h,optimal_power_kw,optimal_mode,step0_power_kw,step0_mode,step1_power_kw,step1_mode,shadow_price,is_partial_step0,start_time
0,0,0.3164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2138,False,2026-03-20T06:00:00.010218+00:00
0,0,0.4164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2805,False,2026-03-20T06:00:00.010218+00:00
0,0,0.4664,1.0,0.0,idle,0.0,idle,0.0,idle,0.2859,False,2026-03-20T06:00:00.010218+00:00
0,0,0.5164,1.0,0.0,idle,0.0,idle,0.0,idle,0.3826,False,2026-03-20T06:00:00.010218+00:00
0,0,0.6164,1.0,-0.3,discharging,-0.3,discharging,0.0,idle,0.2423,False,2026-03-20T06:00:00.010218+00:00
0,12,0.3164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2138,True,2026-03-20T06:00:00.010218+00:00
0,12,0.4164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2138,True,2026-03-20T06:00:00.010218+00:00
0,12,0.4664,0.8,0.0,idle,0.0,idle,0.0,idle,0.4612,True,2026-03-20T06:00:00.010218+00:00
0,12,0.5164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2859,True,2026-03-20T06:00:00.010218+00:00
0,12,0.6164,0.8,0.0,idle,-0.3,discharging,0.0,idle,0.2859,True,2026-03-20T06:00:00.010218+00:00
0,27,0.3164,0.55,0.0,idle,0.0,idle,0.0,idle,0.2274,True,2026-03-20T06:00:00.010218+00:00
0,27,0.4164,0.55,0.0,idle,0.0,idle,0.0,idle,0.3677,True,2026-03-20T06:00:00.010218+00:00
0,27,0.4664,0.55,0.0,idle,0.0,idle,0.0,idle,0.2859,True,2026-03-20T06:00:00.010218+00:00
0,27,0.5164,0.55,0.0,idle,0.0,idle,0.0,idle,0.3092,True,2026-03-20T06:00:00.010218+00:00
0,27,0.6164,0.55,0.0,idle,-0.4,discharging,0.0,idle,0.2805,True,2026-03-20T06:00:00.010218+00:00
0,42,0.3164,0.3,0.0,idle,0.0,idle,0.0,idle,0.3408,True,2026-03-20T06:00:00.010218+00:00
0,42,0.4164,0.3,0.0,idle,0.0,idle,0.0,idle,0.2358,True,2026-03-20T06:00:00.010218+00:00
0,42,0.4664,0.3,0.0,idle,0.0,idle,0.0,idle,0.3408,True,2026-03-20T06:00:00.010218+00:00
0,42,0.5164,0.3,0.0,idle,0.0,idle,0.0,idle,0.2256,True,2026-03-20T06:00:00.010218+00:00
0,42,0.6164,0.3,0.0,idle,-0.9,discharging,0.0,idle,0.2256,True,2026-03-20T06:00:00.010218+00:00
1,0,0.3164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2138,False,2026-03-20T07:00:00+00:00
1,0,0.4164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2903,False,2026-03-20T07:00:00+00:00
1,0,0.4664,1.0,0.0,idle,0.0,idle,0.0,idle,0.2805,False,2026-03-20T07:00:00+00:00
1,0,0.5164,1.0,-0.2,discharging,-0.2,discharging,0.0,idle,0.2985,False,2026-03-20T07:00:00+00:00
1,0,0.6164,1.0,-0.3,discharging,-0.3,discharging,0.0,idle,0.1839,False,2026-03-20T07:00:00+00:00
1,12,0.3164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2138,True,2026-03-20T07:00:00+00:00
1,12,0.4164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2678,True,2026-03-20T07:00:00+00:00
1,12,0.4664,0.8,0.0,idle,0.0,idle,0.0,idle,0.3435,True,2026-03-20T07:00:00+00:00
1,12,0.5164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2859,True,2026-03-20T07:00:00+00:00
1,12,0.6164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2859,True,2026-03-20T07:00:00+00:00
1,27,0.3164,0.55,0.0,idle,0.0,idle,0.0,idle,0.2138,True,2026-03-20T07:00:00+00:00
1,27,0.4164,0.55,0.0,idle,0.0,idle,0.0,idle,0.3238,True,2026-03-20T07:00:00+00:00
1,27,0.4664,0.55,0.0,idle,0.0,idle,0.0,idle,0.2859,True,2026-03-20T07:00:00+00:00
1,27,0.5164,0.55,0.0,idle,0.0,idle,0.0,idle,0.2314,True,2026-03-20T07:00:00+00:00
1,27,0.6164,0.55,0.0,idle,-0.4,discharging,0.0,idle,0.2327,True,2026-03-20T07:00:00+00:00
1,42,0.3164,0.3,0.0,idle,0.0,idle,0.0,idle,0.3169,True,2026-03-20T07:00:00+00:00
1,42,0.4164,0.3,0.0,idle,0.0,idle,0.0,idle,0.1839,True,2026-03-20T07:00:00+00:00
1,42,0.4664,0.3,0.0,idle,0.0,idle,0.0,idle,0.2732,True,2026-03-20T07:00:00+00:00
1,42,0.5164,0.3,0.0,idle,0.0,idle,0.0,idle,0.2495,True,2026-03-20T07:00:00+00:00
1,42,0.6164,0.3,0.0,idle,-0.9,discharging,0.0,idle,0.2495,True,2026-03-20T07:00:00+00:00
2,0,0.3164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2138,False,2026-03-20T08:00:00+00:00
2,0,0.4164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2993,False,2026-03-20T08:00:00+00:00
2,0,0.4664,1.0,0.0,idle,0.0,idle,0.0,idle,0.2805,False,2026-03-20T08:00:00+00:00
2,0,0.5164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2859,False,2026-03-20T08:00:00+00:00
2,0,0.6164,1.0,0.0,idle,0.0,idle,0.0,idle,0.269,False,2026-03-20T08:00:00+00:00
2,12,0.3164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2138,True,2026-03-20T08:00:00+00:00
2,12,0.4164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2993,True,2026-03-20T08:00:00+00:00
2,12,0.4664,0.8,0.0,idle,0.0,idle,0.0,idle,0.2805,True,2026-03-20T08:00:00+00:00
2,12,0.5164,0.8,0.0,idle,0.0,idle,0.0,idle,0.2859,True,2026-03-20T08:00:00+00:00
2,12,0.6164,0.8,0.0,idle,0.0,idle,0.0,idle,0.269,True,2026-03-20T08:00:00+00:00
2,27,0.3164,0.55,0.0,idle,0.0,idle,0.0,idle,0.2138,True,2026-03-20T08:00:00+00:00
2,27,0.4164,0.55,0.0,idle,0.0,idle,0.0,idle,0.2993,True,2026-03-20T08:00:00+00:00
2,27,0.4664,0.55,0.0,idle,0.0,idle,0.0,idle,0.2805,True,2026-03-20T08:00:00+00:00
2,27,0.5164,0.55,0.0,idle,0.0,idle,0.0,idle,0.2859,True,2026-03-20T08:00:00+00:00
2,27,0.6164,0.55,0.0,idle,0.0,idle,0.0,idle,0.269,True,2026-03-20T08:00:00+00:00
2,42,0.3164,0.3,0.0,idle,0.0,idle,0.0,idle,0.2948,True,2026-03-20T08:00:00+00:00
2,42,0.4164,0.3,0.0,idle,0.0,idle,0.0,idle,0.1839,True,2026-03-20T08:00:00+00:00
2,42,0.4664,0.3,0.0,idle,0.0,idle,0.0,idle,0.269,True,2026-03-20T08:00:00+00:00
2,42,0.5164,0.3,0.0,idle,0.0,idle,0.0,idle,0.2716,True,2026-03-20T08:00:00+00:00
2,42,0.6164,0.3,0.0,idle,0.0,idle,0.0,idle,0.2834,True,2026-03-20T08:00:00+00:00
3,0,0.3164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2138,False,2026-03-20T09:00:00+00:00
3,0,0.4164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2993,False,2026-03-20T09:00:00+00:00
3,0,0.4664,1.0,0.0,idle,0.0,idle,0.0,idle,0.2805,False,2026-03-20T09:00:00+00:00
3,0,0.5164,1.0,0.0,idle,0.0,idle,0.0,idle,0.2859,False,2026-03-20T09:00:00+00:00
